"filename", "language", "XML", "C#", "C++", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\CinemaApp.Infrastructure.csproj", "XML", 23, 0, 0, 0, 5, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Extensions\ServiceCollectionExtension.cs", "C#", 0, 38, 0, 0, 7, 45
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Persistance\CinemaAppDbContext.cs", "C#", 0, 60, 0, 0, 14, 74
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\AgeRatingRepository.cs", "C#", 0, 21, 0, 0, 5, 26
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\HallRepository.cs", "C#", 0, 20, 0, 0, 5, 25
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\IdentityRepository.cs", "C#", 0, 98, 0, 0, 23, 121
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\MovieRepository.cs", "C#", 0, 62, 0, 0, 14, 76
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\MovieShowRepository.cs", "C#", 0, 104, 0, 0, 20, 124
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\RatingRepository.cs", "C#", 0, 35, 0, 0, 7, 42
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\SeatRepository.cs", "C#", 0, 26, 0, 0, 5, 31
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\StripeRepository.cs", "C#", 0, 65, 0, 0, 12, 77
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Repositories\TicketRepository.cs", "C#", 0, 197, 0, 0, 41, 238
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Infrastructure\Seeders\CinemaAppSeeder.cs", "C#", 0, 199, 0, 0, 16, 215
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\TicketScanner\TicketScanner.ino", "C++", 0, 0, -133, -3, -38, -174
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\TicketScanner\env.h", "C++", 0, 0, -2, 0, 0, -2
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\TicketScanner\wifi_secrets.h", "C++", 0, 0, -2, 0, 0, -2
"Total", "-", 23, 925, -137, -3, 136, 944
